  [BL] k=200/5000  free=185  total=0.2s  Δ=0.2s
  [BL] k=400/5000  free=377  total=1.8s  Δ=1.6s
  [BL] k=600/5000  free=568  total=5.0s  Δ=3.2s
  [BL] k=800/5000  free=758  total=11.2s  Δ=6.2s
  [BL] k=1000/5000  free=953  total=21.5s  Δ=10.3s
  [BL] k=1200/5000  free=1148  total=35.8s  Δ=14.3s
  [BL] k=1400/5000  free=1340  total=52.8s  Δ=17.0s
  [BL] k=1600/5000  free=1535  total=76.3s  Δ=23.4s
  [BL] k=1800/5000  free=1730  total=107.0s  Δ=30.8s
  [BL] k=2000/5000  free=1924  total=146.5s  Δ=39.4s
  [BL] k=2200/5000  free=2115  total=195.2s  Δ=48.7s
  [BL] k=2400/5000  free=2310  total=254.8s  Δ=59.6s
  [BL] k=2600/5000  free=2504  total=325.8s  Δ=71.0s
