=== Full run: heuristic=BL N_max=5000 ===
  k=200/5000 free=185 t=0.3s
  k=400/5000 free=377 t=2.0s
  k=600/5000 free=568 t=4.8s
  k=800/5000 free=758 t=9.8s
  k=1000/5000 free=953 t=17.7s
  k=1200/5000 free=1148 t=30.4s
  k=1400/5000 free=1340 t=49.8s
  k=1600/5000 free=1535 t=74.6s
  k=1800/5000 free=1730 t=104.4s
  k=2000/5000 free=1924 t=143.2s
  k=2200/5000 free=2115 t=190.1s
  k=2400/5000 free=2310 t=246.8s
  k=2600/5000 free=2504 t=314.3s
  k=2800/5000 free=2697 t=394.3s
  k=3000/5000 free=2893 t=484.5s
