=== Full run: heuristic=CONTACT N_max=5000 ===
  k=200/5000 free=182 t=0.2s
  k=400/5000 free=375 t=1.2s
  k=600/5000 free=561 t=5.5s
  k=800/5000 free=745 t=11.8s
  k=1000/5000 free=933 t=20.3s
  k=1200/5000 free=1122 t=33.4s
  k=1400/5000 free=1313 t=51.7s
  k=1600/5000 free=1507 t=78.1s
  k=1800/5000 free=1699 t=107.6s
  k=2000/5000 free=1892 t=144.3s
  k=2200/5000 free=2086 t=189.6s
  k=2400/5000 free=2280 t=243.7s
  k=2600/5000 free=2476 t=306.0s
  k=2800/5000 free=2673 t=379.8s
  k=3000/5000 free=2867 t=466.9s
