  ! k=     2 mss=5.0000e-01 ratio=1.500 (NEW MIN)
  ! k=     3 mss=2.5000e-01 ratio=1.000 (NEW MIN)
  ! k=    10 mss=8.3333e-02 ratio=0.917 (NEW MIN)
  k=  1000 mss=4.2137e-03 ratio=4.218  min=0.917@k=10  t=2s
  k=  2000 mss=2.7778e-03 ratio=5.558  min=0.917@k=10  t=6s
  k=  3000 mss=8.7371e-04 ratio=2.622  min=0.917@k=10  t=15s
  k=  4000 mss=8.7371e-04 ratio=3.496  min=0.917@k=10  t=25s
  k=  5000 mss=8.7371e-04 ratio=4.369  min=0.917@k=10  t=39s
  k=  6000 mss=8.7371e-04 ratio=5.243  min=0.917@k=10  t=67s
  k=  7000 mss=8.7371e-04 ratio=6.117  min=0.917@k=10  t=102s
  k=  8000 mss=7.8718e-04 ratio=6.298  min=0.917@k=10  t=139s
  k=  9000 mss=7.8718e-04 ratio=7.085  min=0.917@k=10  t=209s
  k= 10000 mss=7.1089e-04 ratio=7.110  min=0.917@k=10  t=253s
  k= 11000 mss=7.1089e-04 ratio=7.821  min=0.917@k=10  t=323s
  k= 12000 mss=7.1089e-04 ratio=8.531  min=0.917@k=10  t=361s
  k= 13000 mss=5.4677e-04 ratio=7.109  min=0.917@k=10  t=489s
  k= 14000 mss=5.4677e-04 ratio=7.655  min=0.917@k=10  t=563s
  k= 15000 mss=5.4677e-04 ratio=8.202  min=0.917@k=10  t=647s
  k= 16000 mss=5.4677e-04 ratio=8.749  min=0.917@k=10  t=734s
  k= 17000 mss=3.9428e-04 ratio=6.703  min=0.917@k=10  t=823s
  k= 18000 mss=3.9428e-04 ratio=7.097  min=0.917@k=10  t=894s
  k= 19000 mss=3.9428e-04 ratio=7.492  min=0.917@k=10  t=981s
  k= 20000 mss=3.9428e-04 ratio=7.886  min=0.917@k=10  t=1065s
  k= 21000 mss=3.9428e-04 ratio=8.280  min=0.917@k=10  t=1142s
  k= 22000 mss=3.9428e-04 ratio=8.675  min=0.917@k=10  t=1227s
