  ! k=     2 mss=5.0000e-01 ratio=1.500 (NEW MIN)
  k=  1000 mss=9.2901e-03 ratio=9.299  min=1.500@k=2  t=3s
  k=  2000 mss=9.2901e-03 ratio=18.590  min=1.500@k=2  t=6s
  k=  3000 mss=9.2901e-03 ratio=27.880  min=1.500@k=2  t=13s
  k=  4000 mss=6.9814e-03 ratio=27.932  min=1.500@k=2  t=24s
  k=  5000 mss=6.9814e-03 ratio=34.914  min=1.500@k=2  t=37s
  k=  6000 mss=5.7876e-03 ratio=34.732  min=1.500@k=2  t=59s
  k=  7000 mss=4.8719e-03 ratio=34.108  min=1.500@k=2  t=146s
  k=  8000 mss=4.7881e-03 ratio=38.309  min=1.500@k=2  t=191s
  k=  9000 mss=4.1979e-03 ratio=37.785  min=1.500@k=2  t=250s
  k= 10000 mss=4.1945e-03 ratio=41.949  min=1.500@k=2  t=310s
  k= 11000 mss=4.1848e-03 ratio=46.037  min=1.500@k=2  t=416s
  k= 12000 mss=3.7600e-03 ratio=45.123  min=1.500@k=2  t=533s
  k= 13000 mss=3.6900e-03 ratio=47.973  min=1.500@k=2  t=635s
  k= 14000 mss=3.5273e-03 ratio=49.386  min=1.500@k=2  t=769s
  k= 15000 mss=3.5273e-03 ratio=52.914  min=1.500@k=2  t=892s
  k= 16000 mss=3.5273e-03 ratio=56.441  min=1.500@k=2  t=1056s
  k= 17000 mss=3.5273e-03 ratio=59.968  min=1.500@k=2  t=1199s
