  [BAF] k=50/2000  free=46  t=0.1s
  [BAF] k=100/2000  free=90  t=0.4s
  [BAF] k=150/2000  free=133  t=1.9s
  [BAF] k=200/2000  free=179  t=3.9s
  [BAF] k=250/2000  free=226  t=5.9s
  [BAF] k=300/2000  free=273  t=8.9s
  [BAF] k=350/2000  free=317  t=14.0s
  [BAF] k=400/2000  free=364  t=20.0s
  [BAF] k=450/2000  free=415  t=27.8s
  [BAF] k=500/2000  free=455  t=39.1s
  [BAF] k=550/2000  free=504  t=54.4s
  [BAF] k=600/2000  free=551  t=69.4s
  [BAF] k=650/2000  free=598  t=87.2s
  [BAF] k=700/2000  free=649  t=112.9s
  [BAF] k=750/2000  free=696  t=141.4s
  [BAF] k=800/2000  free=751  t=176.0s
  [BAF] k=850/2000  free=791  t=215.6s
  [BAF] k=900/2000  free=844  t=255.6s
  [BAF] k=950/2000  free=887  t=301.9s
  [BAF] k=1000/2000  free=934  t=352.8s
  [BAF] k=1050/2000  free=981  t=409.9s
  [BAF] k=1100/2000  free=1026  t=471.2s
  [BAF] k=1150/2000  free=1072  t=542.1s
  [BAF] k=1200/2000  free=1122  t=616.5s
  [BAF] k=1250/2000  free=1170  t=700.1s
