  [BLSF] k=50/2000  free=44  t=0.0s
  [BLSF] k=100/2000  free=93  t=0.4s
  [BLSF] k=150/2000  free=142  t=1.5s
  [BLSF] k=200/2000  free=192  t=3.2s
  [BLSF] k=250/2000  free=241  t=5.1s
  [BLSF] k=300/2000  free=290  t=8.1s
  [BLSF] k=350/2000  free=340  t=12.7s
  [BLSF] k=400/2000  free=390  t=18.3s
  [BLSF] k=450/2000  free=439  t=25.6s
  [BLSF] k=500/2000  free=489  t=35.3s
  [BLSF] k=550/2000  free=539  t=48.3s
  [BLSF] k=600/2000  free=587  t=61.9s
  [BLSF] k=650/2000  free=636  t=77.2s
  [BLSF] k=700/2000  free=684  t=94.6s
  [BLSF] k=750/2000  free=734  t=115.2s
  [BLSF] k=800/2000  free=784  t=139.0s
  [BLSF] k=850/2000  free=833  t=166.3s
  [BLSF] k=900/2000  free=883  t=197.7s
  [BLSF] k=950/2000  free=931  t=233.1s
  [BLSF] k=1000/2000  free=977  t=272.2s
  [BLSF] k=1050/2000  free=1027  t=317.7s
  [BLSF] k=1100/2000  free=1077  t=371.3s
  [BLSF] k=1150/2000  free=1126  t=428.6s
  [BLSF] k=1200/2000  free=1175  t=494.9s
  [BLSF] k=1250/2000  free=1225  t=562.9s
  [BLSF] k=1300/2000  free=1275  t=637.8s
  [BLSF] k=1350/2000  free=1325  t=725.7s
