  [BL] k=50/2000  free=43  t=0.0s
  [BL] k=100/2000  free=90  t=0.2s
  [BL] k=150/2000  free=138  t=0.7s
  [BL] k=200/2000  free=185  t=2.0s
  [BL] k=250/2000  free=234  t=3.9s
  [BL] k=300/2000  free=281  t=8.0s
  [BL] k=350/2000  free=328  t=12.8s
  [BL] k=400/2000  free=377  t=19.1s
  [BL] k=450/2000  free=423  t=27.9s
  [BL] k=500/2000  free=471  t=41.0s
  [BL] k=550/2000  free=519  t=54.5s
  [BL] k=600/2000  free=568  t=70.8s
  [BL] k=650/2000  free=613  t=90.0s
  [BL] k=700/2000  free=662  t=113.0s
  [BL] k=750/2000  free=710  t=139.8s
  [BL] k=800/2000  free=758  t=171.8s
  [BL] k=850/2000  free=806  t=208.8s
  [BL] k=900/2000  free=856  t=251.0s
  [BL] k=950/2000  free=904  t=296.5s
  [BL] k=1000/2000  free=953  t=346.2s
  [BL] k=1050/2000  free=1000  t=400.5s
  [BL] k=1100/2000  free=1050  t=459.1s
  [BL] k=1150/2000  free=1099  t=522.3s
  [BL] k=1200/2000  free=1148  t=589.5s
  [BL] k=1250/2000  free=1196  t=662.5s
  [BL] k=1300/2000  free=1243  t=745.6s
