  [BSSF] k=50/2000  free=39  t=0.0s
  [BSSF] k=100/2000  free=86  t=0.2s
  [BSSF] k=150/2000  free=130  t=0.7s
  [BSSF] k=200/2000  free=174  t=1.7s
  [BSSF] k=250/2000  free=223  t=3.6s
  [BSSF] k=300/2000  free=272  t=6.8s
  [BSSF] k=350/2000  free=321  t=11.3s
  [BSSF] k=400/2000  free=371  t=18.3s
  [BSSF] k=450/2000  free=425  t=27.5s
  [BSSF] k=500/2000  free=466  t=39.8s
  [BSSF] k=550/2000  free=505  t=54.2s
  [BSSF] k=600/2000  free=552  t=71.0s
  [BSSF] k=650/2000  free=601  t=93.1s
  [BSSF] k=700/2000  free=644  t=116.5s
  [BSSF] k=750/2000  free=688  t=146.9s
  [BSSF] k=800/2000  free=735  t=178.7s
  [BSSF] k=850/2000  free=782  t=214.6s
  [BSSF] k=900/2000  free=828  t=254.7s
  [BSSF] k=950/2000  free=874  t=301.4s
  [BSSF] k=1000/2000  free=919  t=352.3s
  [BSSF] k=1050/2000  free=959  t=407.6s
  [BSSF] k=1100/2000  free=1002  t=462.8s
  [BSSF] k=1150/2000  free=1049  t=521.8s
  [BSSF] k=1200/2000  free=1094  t=584.6s
  [BSSF] k=1250/2000  free=1138  t=653.5s
  [BSSF] k=1300/2000  free=1184  t=730.0s
