=== Full run: heuristic=BAF N_max=100000 ===
  k=200/100000 free=179 t=0.1s
  k=400/100000 free=364 t=0.3s
  k=600/100000 free=551 t=0.8s
  k=800/100000 free=751 t=1.4s
  k=1000/100000 free=934 t=2.0s
  k=1200/100000 free=1122 t=3.0s
  k=1400/100000 free=1317 t=3.8s
  k=1600/100000 free=1514 t=4.8s
  k=1800/100000 free=1705 t=5.8s
  k=2000/100000 free=1897 t=6.8s
  k=2200/100000 free=2090 t=8.3s
  k=2400/100000 free=2279 t=9.9s
  k=2600/100000 free=2467 t=10.5s
  k=2800/100000 free=2665 t=11.5s
  k=3000/100000 free=2859 t=12.5s
  k=3200/100000 free=3045 t=13.4s
  k=3400/100000 free=3228 t=14.3s
  k=3600/100000 free=3411 t=15.4s
  k=3800/100000 free=3598 t=21.4s
  k=4000/100000 free=3787 t=22.9s
  k=4200/100000 free=3966 t=24.1s
  k=4400/100000 free=4152 t=25.9s
  k=4600/100000 free=4344 t=27.3s
  k=4800/100000 free=4532 t=29.2s
  k=5000/100000 free=4725 t=31.0s
  k=5200/100000 free=4915 t=35.8s
  k=5400/100000 free=5108 t=38.0s
  k=5600/100000 free=5303 t=51.0s
  k=5800/100000 free=5501 t=56.0s
  k=6000/100000 free=5694 t=58.8s
  k=6200/100000 free=5885 t=62.7s
  k=6400/100000 free=6077 t=66.3s
  k=6600/100000 free=6265 t=70.0s
  k=6800/100000 free=6451 t=74.1s
  k=7000/100000 free=6640 t=77.1s
  k=7200/100000 free=6836 t=82.5s
  k=7400/100000 free=7022 t=87.8s
  k=7600/100000 free=7212 t=90.5s
  k=7800/100000 free=7406 t=93.9s
  k=8000/100000 free=7596 t=97.1s
  k=8200/100000 free=7786 t=100.6s
  k=8400/100000 free=7976 t=103.8s
  k=8600/100000 free=8167 t=107.5s
  k=8800/100000 free=8358 t=113.0s
  k=9000/100000 free=8549 t=118.0s
  k=9200/100000 free=8741 t=123.1s
  k=9400/100000 free=8935 t=128.5s
  k=9600/100000 free=9127 t=133.3s
  k=9800/100000 free=9317 t=138.5s
  k=10000/100000 free=9511 t=144.4s
  k=10200/100000 free=9703 t=149.0s
  k=10400/100000 free=9895 t=155.0s
  k=10600/100000 free=10087 t=162.3s
  k=10800/100000 free=10278 t=167.0s
  k=11000/100000 free=10462 t=173.2s
  k=11200/100000 free=10652 t=182.1s
  k=11400/100000 free=10842 t=190.3s
  k=11600/100000 free=11034 t=200.0s
  k=11800/100000 free=11226 t=208.8s
  k=12000/100000 free=11416 t=217.4s
  k=12200/100000 free=11607 t=231.7s
  k=12400/100000 free=11800 t=242.3s
  k=12600/100000 free=11997 t=256.1s
  k=12800/100000 free=12189 t=265.2s
  k=13000/100000 free=12379 t=273.5s
  k=13200/100000 free=12572 t=282.6s
  k=13400/100000 free=12762 t=289.2s
  k=13600/100000 free=12955 t=301.1s
  k=13800/100000 free=13144 t=314.5s
  k=14000/100000 free=13336 t=322.2s
  k=14200/100000 free=13529 t=334.4s
  k=14400/100000 free=13720 t=346.8s
  k=14600/100000 free=13914 t=361.4s
  k=14800/100000 free=14104 t=375.6s
  k=15000/100000 free=14294 t=388.2s
  k=15200/100000 free=14487 t=400.4s
  k=15400/100000 free=14677 t=412.2s
  k=15600/100000 free=14872 t=426.3s
  k=15800/100000 free=15060 t=439.0s
  k=16000/100000 free=15254 t=449.9s
  k=16200/100000 free=15446 t=468.6s
  k=16400/100000 free=15639 t=483.8s
  k=16600/100000 free=15824 t=498.3s
  k=16800/100000 free=16011 t=519.2s
  k=17000/100000 free=16202 t=537.3s
  k=17200/100000 free=16392 t=550.2s
  k=17400/100000 free=16585 t=558.5s
  k=17600/100000 free=16772 t=573.0s
  k=17800/100000 free=16966 t=582.1s
  k=18000/100000 free=17160 t=598.1s
  k=18200/100000 free=17350 t=616.1s
  k=18400/100000 free=17542 t=637.1s
  k=18600/100000 free=17733 t=652.4s
  k=18800/100000 free=17925 t=666.5s
  k=19000/100000 free=18114 t=676.6s
  k=19200/100000 free=18307 t=684.8s
  k=19400/100000 free=18500 t=693.4s
  k=19600/100000 free=18688 t=702.0s
  k=19800/100000 free=18879 t=710.5s
  k=20000/100000 free=19067 t=722.2s
  k=20200/100000 free=19261 t=732.7s
  k=20400/100000 free=19450 t=741.1s
  k=20600/100000 free=19644 t=752.9s
  k=20800/100000 free=19836 t=762.4s
  k=21000/100000 free=20029 t=779.3s
  k=21200/100000 free=20221 t=792.7s
  k=21400/100000 free=20417 t=802.0s
  k=21600/100000 free=20608 t=815.5s
  k=21800/100000 free=20800 t=825.9s
  k=22000/100000 free=20992 t=836.0s
  k=22200/100000 free=21187 t=854.8s
  k=22400/100000 free=21382 t=867.3s
  k=22600/100000 free=21576 t=882.4s
  k=22800/100000 free=21774 t=894.9s
  k=23000/100000 free=21962 t=905.3s
  k=23200/100000 free=22155 t=916.2s
  k=23400/100000 free=22349 t=924.1s
  k=23600/100000 free=22543 t=933.2s
  k=23800/100000 free=22735 t=941.1s
  k=24000/100000 free=22931 t=964.5s
  k=24200/100000 free=23123 t=991.0s
  k=24400/100000 free=23313 t=1008.0s
  k=24600/100000 free=23503 t=1021.6s
  k=24800/100000 free=23698 t=1049.4s
  k=25000/100000 free=23891 t=1066.1s
  k=25200/100000 free=24083 t=1095.0s
  k=25400/100000 free=24280 t=1114.5s
  k=25600/100000 free=24468 t=1134.6s
