=== Full run: heuristic=BSSF N_max=50000 ===
  k=200/50000 free=174 t=0.1s
  k=400/50000 free=371 t=0.4s
  k=600/50000 free=552 t=0.8s
  k=800/50000 free=735 t=1.4s
  k=1000/50000 free=919 t=1.9s
  k=1200/50000 free=1094 t=2.5s
  k=1400/50000 free=1275 t=2.9s
  k=1600/50000 free=1468 t=3.3s
  k=1800/50000 free=1652 t=4.0s
  k=2000/50000 free=1840 t=4.9s
  k=2200/50000 free=2030 t=5.7s
  k=2400/50000 free=2221 t=6.8s
  k=2600/50000 free=2405 t=8.0s
  k=2800/50000 free=2590 t=9.2s
  k=3000/50000 free=2781 t=10.2s
  k=3200/50000 free=2975 t=12.1s
  k=3400/50000 free=3165 t=14.0s
  k=3600/50000 free=3352 t=15.7s
  k=3800/50000 free=3540 t=17.4s
  k=4000/50000 free=3724 t=18.8s
  k=4200/50000 free=3902 t=21.5s
  k=4400/50000 free=4077 t=23.2s
  k=4600/50000 free=4255 t=25.2s
  k=4800/50000 free=4440 t=28.0s
  k=5000/50000 free=4625 t=29.6s
  k=5200/50000 free=4807 t=32.0s
  k=5400/50000 free=4999 t=36.3s
  k=5600/50000 free=5187 t=40.5s
  k=5800/50000 free=5378 t=45.2s
  k=6000/50000 free=5567 t=49.5s
  k=6200/50000 free=5780 t=54.7s
  k=6400/50000 free=6014 t=61.4s
  k=6600/50000 free=6292 t=88.9s
  k=6800/50000 free=6411 t=126.2s
  k=7000/50000 free=6650 t=141.7s
  k=7200/50000 free=6840 t=170.6s
  k=7400/50000 free=7026 t=173.4s
  k=7600/50000 free=7219 t=176.8s
  k=7800/50000 free=7407 t=179.7s
  k=8000/50000 free=7601 t=182.4s
  k=8200/50000 free=7857 t=194.6s
  k=8400/50000 free=7959 t=208.3s
  k=8600/50000 free=8122 t=229.2s
  k=8800/50000 free=8318 t=232.7s
  k=9000/50000 free=8512 t=235.9s
  k=9200/50000 free=8703 t=239.2s
  k=9400/50000 free=8920 t=258.7s
  k=9600/50000 free=9107 t=269.9s
  k=9800/50000 free=9263 t=275.6s
  k=10000/50000 free=9452 t=288.9s
  k=10200/50000 free=9640 t=308.3s
  k=10400/50000 free=9862 t=321.7s
  k=10600/50000 free=10014 t=342.1s
  k=10800/50000 free=10238 t=368.7s
  k=11000/50000 free=10412 t=385.9s
  k=11200/50000 free=10590 t=399.3s
  k=11400/50000 free=10822 t=437.0s
  k=11600/50000 free=11040 t=459.7s
  k=11800/50000 free=11166 t=480.0s
  k=12000/50000 free=11371 t=495.8s
  k=12200/50000 free=11555 t=511.9s
  k=12400/50000 free=11732 t=535.9s
  k=12600/50000 free=11922 t=549.3s
  k=12800/50000 free=12116 t=564.5s
  k=13000/50000 free=12332 t=584.1s
  k=13200/50000 free=12520 t=603.1s
  k=13400/50000 free=12701 t=630.7s
  k=13600/50000 free=12886 t=671.6s
  k=13800/50000 free=13084 t=693.4s
  k=14000/50000 free=13269 t=703.2s
  k=14200/50000 free=13454 t=725.7s
  k=14400/50000 free=13655 t=763.6s
  k=14600/50000 free=13839 t=781.2s
  k=14800/50000 free=14025 t=795.5s
  k=15000/50000 free=14215 t=804.6s
  k=15200/50000 free=14422 t=821.9s
  k=15400/50000 free=14607 t=869.6s
  k=15600/50000 free=14774 t=906.7s
  k=15800/50000 free=14949 t=933.9s
  k=16000/50000 free=15138 t=951.3s
  k=16200/50000 free=15318 t=977.1s
  k=16400/50000 free=15493 t=1007.7s
  k=16600/50000 free=15665 t=1038.0s
  k=16800/50000 free=15844 t=1058.8s
  k=17000/50000 free=16025 t=1074.0s
  k=17200/50000 free=16209 t=1097.3s
  k=17400/50000 free=16393 t=1113.6s
  k=17600/50000 free=16590 t=1128.3s
  k=17800/50000 free=16782 t=1152.2s
  k=18000/50000 free=16968 t=1160.3s
